,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
1538,인천광역시 중구청,인천광역시 중구 백운로 187,인천광역시 중구 운남동 603-6,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.504425853,126.5370981726,2020-07-02,3490000,인천광역시 중구
1539,인천광역시 중구청,인천광역시 중구 신포로31번길 6,인천광역시 중구 관동3가 1-11,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.471995539299996,126.62511738290002,2020-07-02,3490000,인천광역시 중구
1540,인천광역시 중구청,인천광역시 중구 내항로 465-110,인천광역시 중구 북성동1가 80-5,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.4721284575,126.6072326915,2020-07-02,3490000,인천광역시 중구
1542,인천광역시 중구청,인천광역시 중구 개항로95-8,인천광역시 중구 경동 137-16,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.472377102399996,126.6330061835,2020-07-02,3490000,인천광역시 중구
1543,인천광역시 중구청,인천광역시 중구 북성포길 49,인천광역시 중구 북성동1가 3-9,생활방범,3,200.0,360도전방면,30.0,201904,032-760-7102,37.4830865038,126.6154606252,2020-07-02,3490000,인천광역시 중구
1544,인천광역시 중구청,인천광역시 중구 신도시남로 76,인천광역시 중구 운서동 2785-12,생활방범,3,200.0,360도전방면,30.0,201904,032-760-7102,37.489788802199996,126.48706092389999,2020-07-02,3490000,인천광역시 중구
1545,인천광역시 중구청,인천광역시 중구 홍예문로 76,인천광역시 중구 전동 18-31,생활방범,3,200.0,360도전방면,30.0,201904,032-760-7102,37.4761194724,126.62769248110001,2020-07-02,3490000,인천광역시 중구
1546,경기도 평택시,경기도 평택시 동삭1로 22번길 40,경기도 평택시 동삭동 371-1,생활방범,4,200.0,360도전방면,30.0,201901,031-8024-5291,37.02276131,127.09066229999999,2020-05-25,3910000,경기도 평택시
1551,경기도 평택시,경기도 평택시 청북읍 안청로4길53,경기도 평택시 청북읍 옥길리 1153 (유승한내들퍼스트뷰),교통단속,3,200.0,360도전방면,30.0,201510,031-8024-4888,37.02298119,126.92484569999999,2020-05-25,3910000,경기도 평택시
1552,경기도 평택시,경기도 평택시 관동길 39,경기도 평택시 월곡동 397-14,생활방범,2,200.0,360도전방면,30.0,201108,031-8024-5291,37.02304064,127.13115490000001,2020-05-25,3910000,경기도 평택시
1553,경기도 평택시,경기도 평택시 청북읍 안청로4길 26,경기도 평택시 청북읍 옥길리 1136,어린이보호,1,200.0,360도전방면,30.0,201002,031-8024-5291,37.02329947,126.9157426,2020-05-25,3910000,경기도 평택시
1554,경기도 평택시,경기도 평택시 월곡길 101,경기도 평택시 월곡동 160-8,생활방범,2,200.0,360도전방면,30.0,201108,031-8024-5291,37.02342773,127.1393908,2020-05-25,3910000,경기도 평택시
1555,경기도 평택시,경기도 평택시 청북읍 안청로4길 49,경기도 평택시 청북읍 옥길리 1149,어린이보호,1,200.0,360도전방면,30.0,201002,031-8024-5291,37.02346467,126.9200983,2020-05-25,3910000,경기도 평택시
1556,경기도 평택시,경기도 평택시 청북읍 안청로4길 31,경기도 평택시 청북읍 옥길리 1143,어린이보호,1,200.0,360도전방면,30.0,201002,031-8024-5291,37.02354234,126.9177203,2020-05-25,3910000,경기도 평택시
1557,경기도 평택시,경기도 평택시 청북읍 안청로 4길 31,경기도 평택시 청북읍 옥길리 1143,교통단속,3,200.0,360도전방면,30.0,201601,031-8024-4888,37.02354234,126.9177203,2020-05-25,3910000,경기도 평택시
1558,경기도 평택시,경기도 평택시 청북읍 옥길1길 206,경기도 평택시 청북읍 옥길리 297-2,생활방범,3,200.0,360도전방면,30.0,201710,031-8024-5291,37.02361964,126.9100064,2020-05-25,3910000,경기도 평택시
1559,경기도 평택시,경기도 평택시 청북읍 옥길 1길 241,경기도 평택시 청북읍 옥길리 376-1,차량방범,2,200.0,360도전방면,30.0,201002,031-8024-5291,37.02374266,126.90596509999999,2020-05-25,3910000,경기도 평택시
1561,경기도 평택시,경기도 평택시 새말로 4-60,경기도 평택시 칠원동 424-20,교통단속,1,200.0,360도전방면,30.0,201908,031-8024-4888,37.02397821,127.1012545,2020-05-25,3910000,경기도 평택시
1562,경기도 평택시,경기도 평택시 청북읍 안청로 406-4,경기도 평택시 청북읍 옥길리 1133-1,생활방범,3,200.0,360도전방면,30.0,201906,031-8024-5291,37.02397936,126.9139078,2020-05-25,3910000,경기도 평택시
1563,경기도 평택시,경기도 평택시 청북읍 원후사길 68-2,경기도 평택시 청북읍 후사리 431-6,생활방범,3,200.0,360도전방면,30.0,201605,031-8024-5291,37.02400794,126.9363524,2020-05-25,3910000,경기도 평택시
1564,경기도 평택시,경기도 평택시 지제로 170(오렌지편의점맞은편),경기도 평택시 지제동 302-29,교통단속,3,200.0,360도전방면,30.0,201808,031-8024-4888,37.02413851,127.05479220000001,2020-05-25,3910000,경기도 평택시
1809,대구광역시 중구청,대구광역시 중구 진골목길 8,대구광역시 중구 종로2가 83,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.86777718,128.5924775,2019-06-14,3410000,대구광역시 중구
1810,대구광역시 중구청,대구광역시 중구 동성로2길 6,대구광역시 중구 봉산동 15-3,생활방범,2,200.0,야시골목,30.0,201512,053-661-2495,35.8663218,128.5959424,2019-06-14,3410000,대구광역시 중구
1811,대구광역시 중구청,대구광역시 중구 명륜로23길 24,대구광역시 중구 봉산동 230-81,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.86111246,128.5959973,2019-06-14,3410000,대구광역시 중구
1812,대구광역시 중구청,대구광역시 중구 공평로 59,대구광역시 중구 공평동 81-15,생활방범,2,200.0,공평동 81-15,30.0,201512,053-661-2495,35.86944552,128.5998446,2019-06-14,3410000,대구광역시 중구
1813,대구광역시 중구청,대구광역시 중구 태평로 176-1,대구광역시 중구 태평로1가 6-10,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.87448479,128.596859,2019-06-14,3410000,대구광역시 중구
1814,대구광역시 중구청,대구광역시 중구 태평로 178-1,대구광역시 중구 태평로1가 6-1,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.87432931,128.5971659,2019-06-14,3410000,대구광역시 중구
1815,대구광역시 중구청,대구광역시 중구 동성로2길 12-5,대구광역시 중구 봉산동 21-10,생활방범,2,200.0,야시골목,30.0,201512,053-661-2495,35.86634181,128.596607,2019-06-14,3410000,대구광역시 중구
1816,대구광역시 중구청,대구광역시 중구 명륜로 111,대구광역시 중구 봉산동 234-14,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.86017142,128.5965585,2019-06-14,3410000,대구광역시 중구
1817,대구광역시 중구청,대구광역시 중구 교동길 74,대구광역시 중구 교동 70-48,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.87322838,128.59863629999998,2019-06-14,3410000,대구광역시 중구
1818,대구광역시 중구청,대구광역시 중구 공평로 34,대구광역시 중구 삼덕동2가 6,생활방범,2,200.0,닥터홍치과 옆,30.0,201512,053-661-2495,35.86703772,128.6001106,2019-06-14,3410000,대구광역시 중구
1819,대구광역시 중구청,대구광역시 중구 남산로 22,대구광역시 중구 남산동 2501-15,생활방범,1,200.0,360도 전방면,30.0,201607,053-661-2495,35.85846181,128.583019,2019-06-14,3410000,대구광역시 중구
1820,대구광역시 중구청,대구광역시 중구 문우관길 11,대구광역시 중구 남산동 570-4,생활방범,1,200.0,360도 전방면,30.0,201607,053-661-2495,35.86444521,128.5895856,2019-06-14,3410000,대구광역시 중구
1821,대구광역시 중구청,대구광역시 중구 태평로6길 15-7,대구광역시 중구 달성동 110-8,생활방범,1,200.0,360도 전방면,30.0,201607,053-661-2495,35.87697549,128.58078759999998,2019-06-14,3410000,대구광역시 중구
1822,대구광역시 중구청,대구광역시 중구 진골목길 25,대구광역시 중구 남일동 141,생활방범,2,200.0,정소아과의원 앞,30.0,201607,053-661-2495,35.86874183,128.5925809,2019-06-14,3410000,대구광역시 중구
1823,대구광역시 중구청,대구광역시 중구 국채보상로 488-15,대구광역시 중구 동산동 84-1,생활방범,2,200.0,동산동 84-1,30.0,201607,053-661-2495,35.87030748,128.58348940000002,2019-06-14,3410000,대구광역시 중구
1824,대구광역시 중구청,대구광역시 중구 서성로14길 103,대구광역시 중구 향촌동 39-1,생활방범,1,200.0,360도 전방면,30.0,201704,053-661-2495,35.87318768,128.5932899612,2019-06-14,3410000,대구광역시 중구
1825,대구광역시 중구청,대구광역시 중구 달구벌대로 2025-5,대구광역시 중구 동산동 860,생활방범,1,200.0,360도 전방면,30.0,201607,053-661-2495,35.86612775,128.5850093,2019-06-14,3410000,대구광역시 중구
1826,대구광역시 중구청,대구광역시 중구 종로 23-22,대구광역시 중구 장관동 31-3,생활방범,2,200.0,장관동 31-3,30.0,201607,053-661-2495,35.86812805,128.590753,2019-06-14,3410000,대구광역시 중구
1827,대구광역시 중구청,대구광역시 중구 중앙대로79길 51,대구광역시 중구 장관동 39-1,생활방범,1,200.0,360도 전방면,30.0,201607,053-661-2495,35.86893933,128.5907338,2019-06-14,3410000,대구광역시 중구
1828,대구광역시 중구청,대구광역시 중구 명륜로 147-10,대구광역시 중구 봉산동 259-8,생활방범,1,200.0,360도 전방면,30.0,201607,053-661-2495,35.86081241,128.6001271,2019-06-14,3410000,대구광역시 중구
1829,대구광역시 중구청,대구광역시 중구 국채보상로143길 41-13,대구광역시 중구 동인동3가 46,생활방범,1,200.0,360도 전방면,30.0,201607,053-661-2495,35.87064289,128.6078933,2019-06-14,3410000,대구광역시 중구
1830,대구광역시 중구청,대구광역시 중구 국채보상로149길 34-8,대구광역시 중구 동인동3가 219-4,생활방범,2,200.0,동인동3가 219-4,30.0,201607,053-661-2495,35.86995768,128.6116836,2019-06-14,3410000,대구광역시 중구
1831,대구광역시 중구청,대구광역시 중구 동덕로38길 112-13,대구광역시 중구 동인동3가 207-9,생활방범,1,200.0,360도 전방면,30.0,201607,053-661-2495,35.87027367,128.61096809999998,2019-06-14,3410000,대구광역시 중구
1832,대구광역시 중구청,대구광역시 중구 동덕로38길 77,대구광역시 중구 동인동3가 246-4,생활방범,1,200.0,360도 전방면,30.0,201607,053-661-2495,35.87114616,128.6088024,2019-06-14,3410000,대구광역시 중구
1833,대구광역시 중구청,대구광역시 중구 경상감영길 285-5,대구광역시 중구 동인동1가 235-13,생활방범,2,200.0,커블빌 앞,30.0,201607,053-661-2495,35.87120434,128.60283379999998,2019-06-14,3410000,대구광역시 중구
1834,대구광역시 중구청,대구광역시 중구 공평로20길 51-28,대구광역시 중구 동인동1가 201-2,생활방범,2,200.0,더?빌라 앞,30.0,201605,053-661-2495,35.87277462,128.603202,2019-06-14,3410000,대구광역시 중구
1835,대구광역시 중구청,대구광역시 중구 경상감영길 297-20,대구광역시 중구 동인동1가 284-1,생활방범,1,200.0,360도 전방면,30.0,201605,053-661-2495,35.87138906,128.6038473,2019-06-14,3410000,대구광역시 중구
1836,대구광역시 중구청,대구광역시 중구 태평로 230,대구광역시 중구 동인동1가 81-2,생활방범,1,200.0,360도 전방면,30.0,201605,053-661-2495,35.87333761,128.6026111,2019-06-14,3410000,대구광역시 중구
1837,대구광역시 중구청,대구광역시 중구 국채보상로131길 69,대구광역시 중구 동인동1가 96-1,생활방범,1,200.0,360도 전방면,30.0,201605,053-661-2495,35.87289189,128.6025179,2019-06-14,3410000,대구광역시 중구
1838,대구광역시 중구청,대구광역시 중구 대봉로 230,대구광역시 중구 대봉동 44-153,생활방범,1,200.0,360도 전방면,30.0,201605,053-661-2495,35.85932727,128.6014832,2019-06-14,3410000,대구광역시 중구
1839,대구광역시 중구청,대구광역시 중구 대봉로 208,대구광역시 중구 대봉동 132-1,생활방범,1,200.0,360도 전방면,30.0,201605,053-661-2495,35.85720995,128.6021314,2019-06-14,3410000,대구광역시 중구
1840,대구광역시 중구청,대구광역시 중구 달성로 19,대구광역시 중구 대신동 992,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.86682527,128.5821358,2019-06-14,3410000,대구광역시 중구
1841,대구광역시 중구청,대구광역시 중구 달성로 23,대구광역시 중구 대신동 987,생활방범,1,200.0,대신동 987,30.0,201512,053-661-2495,35.86736634,128.5821067,2019-06-14,3410000,대구광역시 중구
1842,대구광역시 중구청,대구광역시 중구 달성공원로10길 30,대구광역시 중구 달성동 219-28,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.87500296,128.58085020000001,2019-06-14,3410000,대구광역시 중구
1843,대구광역시 중구청,대구광역시 중구 동성로 19-7,대구광역시 중구 사일동 79,생활방범,1,200.0,사일동 79,30.0,201512,053-661-2495,35.86897541,128.59480870000002,2019-06-14,3410000,대구광역시 중구
1844,대구광역시 중구청,대구광역시 중구 동덕로30길 151-9,대구광역시 중구 동인동4가 531-2,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.86617194,128.6120231,2019-06-14,3410000,대구광역시 중구
1845,대구광역시 중구청,대구광역시 중구 남산로13길 58,대구광역시 중구 남산동 2636-11,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.86123035,128.579443,2019-06-14,3410000,대구광역시 중구
1846,대구광역시 중구청,대구광역시 중구 명륜로22길 76,대구광역시 중구 남산동 2005-8,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.85729748,128.5941984,2019-06-14,3410000,대구광역시 중구
1847,대구광역시 중구청,대구광역시 중구 달구벌대로415길 49,대구광역시 중구 남성로 51-1,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.86851768,128.5899105,2019-06-14,3410000,대구광역시 중구
1848,대구광역시 중구청,대구광역시 중구 달구벌대로405길 39,대구광역시 중구 동산동 439,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.86710596,128.5840855,2019-06-14,3410000,대구광역시 중구
1849,대구광역시 중구청,대구광역시 중구 약령길 20-1,대구광역시 중구 계산동2가 135,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.867444299999995,128.5890344,2019-06-14,3410000,대구광역시 중구
1850,대구광역시 중구청,대구광역시 중구 달구벌대로 2027,대구광역시 중구 동산동 849,생활방범,2,200.0,동산동 849,30.0,201512,053-661-2495,35.86609146,128.5853008,2019-06-14,3410000,대구광역시 중구
1851,대구광역시 중구청,대구광역시 중구 태평로 113-61,대구광역시 중구 태평로3가 214-38,생활방범,1,200.0,360도 전방면,30.0,201512,053-661-2495,35.87670798,128.59040190000002,2019-06-14,3410000,대구광역시 중구
1852,대구광역시 중구청,대구광역시 중구 명륜로22길 25-16,대구광역시 중구 남산동 731-4,생활방범,1,200.0,360도 전방면,30.0,201704,053-661-2495,35.85914178,128.594563,2019-06-14,3410000,대구광역시 중구
1853,대구광역시 중구청,대구광역시 중구 큰장로 24안길 42,대구광역시 중구 대신동 302-11,생활방범,1,200.0,360도 전방면,30.0,201704,053-661-2495,35.86586396,128.5784899,2019-06-14,3410000,대구광역시 중구
1854,대구광역시 중구청,대구광역시 중구 큰장로12길 26,대구광역시 중구 대신동 1636,생활방범,1,200.0,360도 전방면,30.0,201704,053-661-2495,35.86507446,128.5752017,2019-06-14,3410000,대구광역시 중구
1855,대구광역시 중구청,대구광역시 중구 태평로6길 7,대구광역시 중구 달성동 111-6,생활방범,1,200.0,남영 씨링 인쇄사 앞,30.0,201704,053-661-2495,35.87731616,128.5806482,2019-06-14,3410000,대구광역시 중구
1856,대구광역시 중구청,대구광역시 중구 북성로46-1,대구광역시 중구 서성로1가 17-5,생활방범,1,200.0,서성로1가 17-5,30.0,201704,053-661-2495,35.87370665,128.5873082,2019-06-14,3410000,대구광역시 중구
1857,대구광역시 중구청,대구광역시 중구 중앙대로79길 16,대구광역시 중구 남일동129-1,생활방범,2,200.0,중앙시네마 주차장 앞,30.0,201704,053-661-2495,35.86928876,128.59265390000002,2019-06-14,3410000,대구광역시 중구
1858,대구광역시 중구청,대구광역시 중구 서성로14길 85,대구광역시 중구 대안동 24,생활방범,1,200.0,아미제화 앞,30.0,201704,053-661-2495,35.87309012,128.59222069999998,2019-06-14,3410000,대구광역시 중구
1859,대구광역시 중구청,대구광역시 중구 태평로 152-8,대구광역시 중구 북성로1가 14-2,생활방범,1,200.0,360도 전방면,30.0,201704,053-661-2495,35.87473553,128.5942643,2019-06-14,3410000,대구광역시 중구
1860,대구광역시 중구청,대구광역시 중구 중앙대로81길 11,대구광역시 중구 동일동 31-2,생활방범,1,200.0,360도 전방면,30.0,201704,053-661-2495,35.86965784,128.5930908,2019-06-14,3410000,대구광역시 중구
1861,대구광역시 중구청,대구광역시 중구 약령길 64,대구광역시 중구 수동 82,생활방범,1,200.0,약령시 입구,30.0,201704,053-661-2495,35.8691136,128.5895504,2019-06-14,3410000,대구광역시 중구
1862,대구광역시 중구청,대구광역시 중구 국채보상로 102길 10-24,대구광역시 중구 동산동 178-1,생활방범,1,200.0,동산동 178-1,30.0,201704,053-661-2495,35.86913582,128.5854146,2019-06-14,3410000,대구광역시 중구
1863,대구광역시 중구청,대구광역시 중구 달구벌대로 2003-10,대구광역시 중구 동산동 682,생활방범,1,200.0,미진식당 옆,30.0,201704,053-661-2495,35.865725700000006,128.5832432,2019-06-14,3410000,대구광역시 중구
1864,대구광역시 중구청,대구광역시 중구 달구벌대로 2109-17,대구광역시 중구 덕산동 127-10,생활방범,1,200.0,중앙요리학원 앞,30.0,201704,053-661-2495,35.86624636,128.59402340000003,2019-06-14,3410000,대구광역시 중구
1865,대구광역시 중구청,대구광역시 중구 봉산문화1길 16-29,대구광역시 중구 봉산동 177-13,생활방범,1,200.0,봉산동 177-13,30.0,201704,053-661-2495,35.86193179,128.59889640000003,2019-06-14,3410000,대구광역시 중구
1866,대구광역시 중구청,대구광역시 중구 봉산문화1길 16-18,대구광역시 중구 봉산동 168-31,생활방범,1,200.0,봉산동 168-31,30.0,201704,053-661-2495,35.86210889,128.5985900373,2019-06-14,3410000,대구광역시 중구
1867,대구광역시 중구청,대구광역시 중구 중앙대로 442-13,대구광역시 중구 동성로1가 32-1,생활방범,1,200.0,허윤정 콜렉션 앞,30.0,201704,053-661-2495,35.87255659,128.59521270000002,2019-06-14,3410000,대구광역시 중구
1868,대구광역시 중구청,대구광역시 중구 경상감영길 175,대구광역시 중구 동문동 19-4,생활방범,1,200.0,동아 아울렛 본점 옆,30.0,201704,053-661-2495,35.87224749,128.59704440000002,2019-06-14,3410000,대구광역시 중구
1869,대구광역시 중구청,대구광역시 중구 동성로4길 60,대구광역시 중구 삼덕동1가 61-1,생활방범,1,200.0,데레사 신협 앞,30.0,201704,053-661-2495,35.86732918,128.59933700000002,2019-06-14,3410000,대구광역시 중구
1870,대구광역시 중구청,대구광역시 중구 국채보상로 150길 75-10,대구광역시 중구 삼덕동3가 189-6,생활방범,1,200.0,360도 전방면,30.0,201704,053-661-2495,35.86489835,128.61103640000002,2019-06-14,3410000,대구광역시 중구
1871,대구광역시 중구청,대구광역시 중구 국채보상로 149길 101,대구광역시 중구 동인동3가 348-2,생활방범,1,200.0,360도 전방면,30.0,201704,053-661-2495,35.87277259,128.6103588,2019-06-14,3410000,대구광역시 중구
1872,대구광역시 중구청,대구광역시 중구 경상감영길 298-13,대구광역시 중구 동인동2가 52-24,생활방범,1,200.0,히로텔 후문,30.0,201704,053-661-2495,35.87007322,128.6033203,2019-06-14,3410000,대구광역시 중구
1873,대구광역시 중구청,대구광역시 중구 남산로8길 25-16,대구광역시 중구 남산동 2178-1,생활방범,1,200.0,360도 전방면,30.0,201611,053-661-2495,35.85866028,128.5876457,2019-06-14,3410000,대구광역시 중구
1874,대구광역시 중구청,대구광역시 중구 봉산문화1길 16-25,대구광역시 중구 봉산동 177-35,생활방범,1,200.0,봉산동 177-35,30.0,201611,053-661-2495,35.86206637,128.59880619999998,2019-06-14,3410000,대구광역시 중구
1875,대구광역시 중구청,대구광역시 중구 봉산문화1길 18,대구광역시 중구 봉산동 168-148,생활방범,1,200.0,360도 전방면,30.0,201611,053-661-2495,35.86278583,128.5983734,2019-06-14,3410000,대구광역시 중구
1876,대구광역시 중구청,대구광역시 중구 국채보상로125길 14,대구광역시 중구 공평동 10-2,생활방범,1,200.0,360도 전방면,30.0,201608,053-661-2495,35.87104715,128.5989423,2019-06-14,3410000,대구광역시 중구
1877,대구광역시 중구청,대구광역시 중구 동덕로 1-36,대구광역시 중구 대봉동 186-7,생활방범,2,200.0,대봉동 186-7,30.0,201608,053-661-2495,35.85568339,128.6033493,2019-06-14,3410000,대구광역시 중구
1878,대구광역시 중구청,대구광역시 중구 큰장로12길 38,대구광역시 중구 대신동 1628-2,생활방범,2,200.0,가나상사 앞,30.0,201607,053-661-2495,35.86553236,128.5754676,2019-06-14,3410000,대구광역시 중구
1879,대구광역시 중구청,대구광역시 중구 명덕로47길 6-7,대구광역시 중구 대봉동 590-486,생활방범,2,200.0,순복음중앙교회 앞,30.0,201607,053-661-2495,35.85684594,128.5956284,2019-06-14,3410000,대구광역시 중구
