발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,field_1,관리기관명,소재지도로,소재지지번,설치목적구,카메라대수,카메라화소,촬영방면정,보관일수,설치년월,관리기관전,위도_2,경도_2,데이터기준,제공기관코,제공기관명,시설종류,대상시설명,소재지도_1,소재지지_1,위도_2_2,경도_2_2,관리기관_1,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기_1,제공기관_1,제공기관_2,옐로카펫_,보호구역_,옐로카펫_설치유무,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm)
2019,20190401,주,월,1,0,0,0,0,서울,양천구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,자전거,보행자,943060.0,1946808.0,126.8556519,37.51880861,14213,서울특별시 양천구청,서울특별시 양천구 중앙로32길 17,서울특별시 양천구 신정동 311-11,생활방범,1,200.0,120도,30.0,201512,02-2620-4793,37.518895,126.85563400000002,2019/11/20,3140000,서울특별시 양천구,초등학교,양명초교,서울특별시 양천구 중앙로 204,서울특별시 양천구 신정1동 543,37.51637504,126.8566344,서울특별시 양천구청,양천경찰서,Y,3.0,7,2020/06/01,3140000,서울특별시 양천구,0,97,0,5.5,0.3,11.3,
2019,20190605,야,수,1,0,0,0,0,서울,양천구,차대사람,차도통행중,차도통행중,보행자 보호의무 위반,교차로,교차로내,승합차,보행자,943355.0,1946352.0,126.8590252,37.51471681,14213,서울특별시 양천구청,서울특별시 양천구 중앙로32길 17,서울특별시 양천구 신정동 311-11,생활방범,1,200.0,120도,30.0,201512,02-2620-4793,37.518895,126.85563400000002,2019/11/20,3140000,서울특별시 양천구,초등학교,양명초교,서울특별시 양천구 중앙로 204,서울특별시 양천구 신정1동 543,37.51637504,126.8566344,서울특별시 양천구청,양천경찰서,Y,3.0,7,2020/06/01,3140000,서울특별시 양천구,0,97,0,23.0,17.8,29.6,
2019,20191216,주,월,1,0,0,0,0,서울,강서구,차대차,기타,기타,신호위반,교차로,교차로부근,이륜차,승합차,944403.0,1950020.0,126.8706056,37.54784052,13006,서울특별시 양천구청,서울특별시 양천구 목동중앙북로7가길 30,서울특별시 양천구 목동 608-8,생활방범,3,200.0,360도 전방,30.0,201012,02-2620-4793,37.549211,126.865929,2019/11/20,3140000,서울특별시 양천구,유치원,동연유치원,서울특별시 양천구 목동중앙북로7길 22,서울특별시 양천구 목3동 602-16,37.54880900000001,126.8677075,서울특별시 양천구청,양천경찰서,Y,3.0,6,2020/06/01,3140000,서울특별시 양천구,0,97,0,7.8,2.1,12.9,
2019,20190925,야,수,1,0,0,0,0,서울,양천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,945290.0,1948671.0000000002,126.880747,37.53573498,13195,서울특별시 양천구청,"서울특별시 양천구 목동동로 393, 부영1차-벽산 평화의거리",서울특별시 양천구 목동 907-12,생활방범,3,200.0,120도,30.0,201812,02-2620-4793,37.53575,126.87995,2019/11/20,3140000,서울특별시 양천구,유치원,원일유치원,서울특별시 양천구 목동동로 350,서울특별시 양천구 목5동 912,37.53515823,126.88187450000002,서울특별시 양천구청,양천경찰서,Y,2.0,6,2020/06/01,3140000,서울특별시 양천구,0,98,0,20.9,14.8,27.4,
2019,20190130,야,수,1,0,0,0,0,서울,양천구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,941204.0,1948103.0000000002,126.8345465,37.53036403,13179,서울특별시 양천구청,서울특별시 양천구 곰달래로10길 9,서울특별시 양천구 신월동 229-3,생활방범,5,200.0,360도 전방,30.0,200812,02-2620-4793,37.529113,126.83673300000002,2019/11/20,3140000,서울특별시 양천구,어린이집,곰달래어린이집,서울특별시 양천구 남부순환로65길 2,서울특별시 양천구 신월1동 217-1,37.5277047,126.834015,서울특별시 양천구청,양천경찰서,Y,2.0,6,2020/06/01,3140000,서울특별시 양천구,0,8,0,1.8,-2.8,6.6,
2019,20190313,야,수,1,0,0,0,0,서울,성동구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,958555.0,1951579.0000000002,127.0307216,37.56263749,28834,서울특별시 성동구청,서울특별시 성동구 무학봉길 86,서울특별시 성동구 무학봉길 86,쓰레기단속,1,200.0,하단부,30.0,201807,02-2286-5879,37.56171,127.031631,2020/06/08,3030000,서울특별시 성동구,어린이집,구립왕십리하나어린이집,서울특별시 성동구 무학봉16길 9-3,서울특별시 성동구 하왕십리동 976-13,37.560837,127.0320321,서울특별시 성동구,성동경찰서,Y,1.0,7,2020/06/17,3030000,서울특별시 성동구,0,10,0,3.5,-0.4,8.5,0.0
2019,20190501,주,수,1,0,0,0,0,서울,성동구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,승용차,보행자,960015.0,1951910.0,127.0472345,37.56568544,38694,서울특별시 성동구청,서울특별시 성동구 마조로14가길 28 (마장동),서울특별시 성동구 마장동 361-2,쓰레기단속,1,200.0,하단부,30.0,201601,02-2286-5879,37.564552,127.043816,2020/06/08,3030000,서울특별시 성동구,어린이집,마장어린이집,서울특별시 성동구 마장로44길 10,서울특별시 성동구 마장동 780,37.566426,127.0455793,서울특별시 성동구,성동경찰서,Y,1.0,24,2020/06/17,3030000,서울특별시 성동구,0,97,0,16.4,11.2,22.2,
2019,20190116,야,수,1,0,0,0,0,서울,성동구,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,957987.0,1949576.0,127.0244051,37.54455817,28827,서울특별시 성동구청,서울특별시 성동구 독서당로 285-1,서울특별시 성동구 독서당로 285-1,쓰레기단속,3,200.0,360도 전방면,30.0,201807,02-2286-5879,37.547909,127.02095000000001,2020/06/08,3030000,서울특별시 성동구,유치원,옥수병설유치원,서울특별시 성동구 금호로1길 25,서울특별시 성동구 금호동4가 440-12,37.54552993,127.0218712,서울특별시 성동구,성동경찰서,Y,1.0,4~13,2020/06/17,3030000,서울특별시 성동구,0,97,0,-5.2,-10.1,-1.1,0.0
2019,20190304,야,월,1,0,0,0,0,서울,광진구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,화물차,보행자,961464.0,1949282.0,127.0637797,37.54206021,38724,서울특별시 성동구청,서울특별시 성동구 아차산로17길 26,서울특별시 성동구 성수동2가 279-46,교통단속,4,200.0,360도 전방면,30.0,201311,02-2286-5879,37.544498,127.06436900000001,2020/06/08,3030000,서울특별시 성동구,초등학교,성수초등학교,서울특별시 성동구 아차산로17길 21,서울특별시 성동구 성수동2가 277-32,37.54431493,127.06315729999999,서울특별시 성동구,성동경찰서,Y,3.0,5~8,2020/06/17,3030000,서울특별시 성동구,2018-04-26,96,1,9.9,5.0,16.3,
2019,20190420,야,토,1,0,0,0,0,서울,성동구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,961379.0,1949340.0,127.0628145,37.54257943,38724,서울특별시 성동구청,서울특별시 성동구 아차산로17길 26,서울특별시 성동구 성수동2가 279-46,교통단속,4,200.0,360도 전방면,30.0,201311,02-2286-5879,37.544498,127.06436900000001,2020/06/08,3030000,서울특별시 성동구,초등학교,성수초등학교,서울특별시 성동구 아차산로17길 21,서울특별시 성동구 성수동2가 277-32,37.54431493,127.06315729999999,서울특별시 성동구,성동경찰서,Y,3.0,5~8,2020/06/17,3030000,서울특별시 성동구,2018-04-26,96,1,14.3,9.7,19.1,1.2
2019,20190614,주,금,1,0,0,0,0,서울,성동구,차대사람,보도통행중,보도통행중,신호위반,교차로,교차로횡단보도내,이륜차,보행자,957942.0,1951152.9999999998,127.0238053,37.55877005,38721,서울특별시 성동구청,서울특별시 성동구 난계로 67,서울특별시 성동구 금호동1가 130-37,교통단속,3,200.0,360도 전방면,30.0,201805,02-2286-5879,37.557831,127.023293,2020/06/08,3030000,서울특별시 성동구,초등학교,금북초등학교,서울특별시 성동구 행당로1길 13,서울특별시 성동구 금호동1가 48-2,37.557465,127.023576,서울특별시 성동구,성동경찰서,Y,6.0,5~20,2020/06/17,3030000,서울특별시 성동구,2017-12-12,96,1,23.0,19.1,28.4,
2019,20190930,야,월,1,0,0,0,0,서울,금천구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,승용차,보행자,946703.0,1940747.0000000002,126.897314,37.46439743,17828,서울특별시 금천구,서울특별시 금천구 시흥대로94길 20,서울특별시 금천구 독산동 1060-31,다목적,5,200.0,360도전방면,30.0,201211,02-2627-1903,37.465061,126.89909100000001,2020/02/20,3170000,서울특별시 금천구,유치원,독산유치원,서울특별시 금천구 시흥대로 98길 45,서울특별시 금천구 독산동 1051-20,37.46434175,126.900288,서울특별시 금천구청,금천경찰서,Y,1.0,6~8,2020/02/20,3170000,서울특별시 금천구,0,95,0,22.4,16.4,29.9,
2019,20190724,주,수,1,1,0,1,0,서울,동대문구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,교량위,이륜차,승용차,962157.0,1955875.0000000002,127.0712837,37.60151365,18215,서울특별시 중랑구청,서울특별시 중랑구 동일로123길 125,서울특별시 중랑구 중화2동 328-62,생활방범,3,130.0,0,30.0,201208,02-2094-0284,37.60005987,127.0737691,2020/05/06,3060000,서울특별시 중랑구,어린이집,세화어린이집,서울특별시 중랑구 동일로123길 125,서울특별시 중랑구 중화2동 328-62,37.59993259,127.073783,서울특별시 중랑구청,중랑경찰서,Y,,,2020/03/04,3060000,서울특별시 중랑구,0,10,0,26.5,25.2,27.2,1.0
2019,20190911,야,수,1,0,0,0,0,서울,중랑구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,963595.0,1955734.0,127.0875811,37.60030083,18063,서울특별시 중랑구청,서울특별시 중랑구 상봉중앙로 60,서울특별시 중랑구 상봉1동 225-1,생활방범,3,200.0,0,30.0,201912,02-2094-0284,37.60268183,127.08729440000002,2020/05/06,3060000,서울특별시 중랑구,어린이집,상봉어린이집,서울특별시 중랑구 상봉중앙로6길 57,서울특별시 중랑구 상봉1동 287-1,37.60202594,127.0901512,서울특별시 중랑구청,중랑경찰서,Y,,,2020/03/04,3060000,서울특별시 중랑구,0,96,0,24.3,20.4,28.7,7.6
2019,20190722,야,월,1,0,0,0,0,서울,노원구,차대사람,차도통행중,차도통행중,과속,단일로,기타단일로,승용차,보행자,962829.4,1957778.0,127.0788043,37.61869329,8037,서울특별시 중랑구청,서울특별시 중랑구 숙선옹주로3길 19,서울특별시 중랑구 묵1동 301-4,생활방범,1,200.0,0,30.0,200903,02-2094-0284,37.61524088,127.0795164,2020/05/06,3060000,서울특별시 중랑구,유치원,미림유치원,서울특별시 중랑구 공릉로 65,서울특별시 중랑구 묵1동 162-1,37.61646036,127.0793223,서울특별시 중랑구청,중랑경찰서,Y,,,2020/03/04,3060000,서울특별시 중랑구,0,9,0,26.7,24.2,31.0,0.1
2019,20191030,주,수,1,0,0,0,0,서울,중랑구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승합차,보행자,962858.0,1957312.9999999998,127.07915190000001,37.61450329,8037,서울특별시 중랑구청,서울특별시 중랑구 숙선옹주로3길 19,서울특별시 중랑구 묵1동 301-4,생활방범,1,200.0,0,30.0,200903,02-2094-0284,37.61524088,127.0795164,2020/05/06,3060000,서울특별시 중랑구,유치원,미림유치원,서울특별시 중랑구 공릉로 65,서울특별시 중랑구 묵1동 162-1,37.61646036,127.0793223,서울특별시 중랑구청,중랑경찰서,Y,,,2020/03/04,3060000,서울특별시 중랑구,0,9,0,11.2,5.0,17.7,
2019,20190729,야,월,1,0,0,0,0,서울,용산구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,951118.0,1948476.0,126.9467231,37.53430489,4415,서울특별시 마포구청,서울특별시 마포구 삼개로 33,서울특별시 마포구 도화동 83,생활방범,1,130.0,360도전방면,30.0,201204,02-3153-8432,37.536641,126.947753,2019/06/25,3130000,서울특별시 마포구,유치원,일민유치원,서울특벽시 용산구 효창원로 17,서울특별시 용산구 신천동 193,37.5348611,126.9486162,용산구청,용산경찰서,Y,,15,2020/02/18,3020000,서울특별시 용산구,0,10,0,27.5,25.6,30.0,0.5
2019,20190921,주,토,1,3,3,0,0,서울,강동구,차대사람,기타,기타,기타,단일로,기타단일로,승용차,보행자,968700.0,1949504.0,127.14567880000001,37.54433537,33721,서울특별시 강동구청,서울특별시 강동구 천중로51길 58 (길동),서울특별시 강동구 길동 331-1,생활방범,1,130.0,360도전방면,30.0,201309,02-3425-7090,37.54346466,127.1448135,2020/05/20,3240000,서울특별시 강동구,유치원,반석유치원,서울특별시 강동구 양재대로124길 89-18,서울특별시 강동구 길동 79,37.54281992,127.1473249,서울특별시 강동구청,강동경찰서,Y,2.0,8,2019/12/06,3240000,서울특별시 강동구,0,12,0,19.6,18.3,22.1,
2019,20190606,야,목,1,0,0,0,0,서울,강동구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,967904.0,1949038.0,127.1366885,37.54010773,33694,서울특별시 강동구청,서울특별시 강동구 천중로35가길 57 (천호동),서울특별시 강동구 천호동 52-43,생활방범,3,200.0,360도전방면,30.0,201309,02-3425-7090,37.54153824,127.14057920000002,2020/05/20,3240000,서울특별시 강동구,초등학교,천동초등학교,서울특별시 강동구 성안로 200,서울특별시 강동구 길동 371-1,37.541015,127.13782759999998,서울특별시 강동구청,강동경찰서,Y,5.0,6,2019/12/06,3240000,서울특별시 강동구,0,95,0,21.2,18.6,25.1,7.5
2019,20190505,주,일,1,0,0,0,0,서울,강동구,차대차,추돌,추돌,기타,교차로,교차로내,승용차,자전거,967257.0,1948982.0,127.1293674,37.53958022,42546,서울특별시 강동구청,서울특별시 강동구 진황도로 27다길 31 (천호동),서울특별시 강동구 천호동 192-17,생활방범,3,200.0,360도전방면,30.0,201801,02-3425-7090,37.5403547,127.1315333,2020/05/20,3240000,서울특별시 강동구,유치원,천호유치원,서울특별시 강동구 구천면로 238,서울특별시 강동구 천호3동 397-74,37.5416383,127.13086430000001,서울특별시 강동구청,강동경찰서,Y,1.0,15,2019/12/06,3240000,서울특별시 강동구,0,95,0,19.2,13.6,26.5,
2019,20190619,야,수,1,0,0,0,0,서울,동대문구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,이륜차,없음,959731.0,1952640.9999999998,127.0439786,37.57226177,33627,서울특별시 성동구청,서울특별시 성동구 마장로35길 76,서울특별시 성동구 마장동 818,쓰레기단속,1,200.0,하단부,30.0,201712,02-2286-5879,37.570627,127.042663,2020/06/08,3030000,서울특별시 성동구,초등학교,신답초교,서울특별시 동대문구 천호대로 177,서울특별시 동대문구 답십리동 463-13,37.57270542,127.0429615,서울특별시 동대문구청,동대문경찰서,Y,3.0,,2019/11/25,3050000,서울특별시 동대문구,0,95,0,21.4,18.9,25.4,0.2
2019,20190125,야,금,1,1,1,0,0,서울,도봉구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,960281.0,1965423.0000000002,127.049512,37.68749225,15667,서울특별시 노원구청,서울특별시 노원구 누원로 16,서울특별시 노원구 상계동 1313-3,생활방범,1,200.0,회전,30.0,201709,02-2116-4917,37.6867482,127.0519969,2019/04/08,3100000,서울특별시 노원구,초등학교,누원초등학교,서울특별시 도봉구 마들로 859-44,,37.6869304,127.0490694,도봉구청,도봉경찰서,Y,2.0,6~20,2019/09/05,3090000,서울특별시 도봉구,2017-10-20,96,1,-1.2,-3.8,2.6,
2019,20191012,주,토,1,0,0,0,0,서울,성동구,차대차,추돌,추돌,기타,교차로,교차로부근,승용차,자전거,960397.0,1948640.9999999998,127.0517364,37.53623744,28813,서울특별시 성동구청,서울특별시 성동구 둘레11길 10-19,서울특별시 성동구 성수동2가 438-1,쓰레기단속,1,200.0,하단부,30.0,201712,02-2286-5879,37.536213,127.052357,2020/06/08,3030000,서울특별시 성동구,어린이집,아이세계어린이집,서울특별시 광진구 동일로4가길 2 (자양동),서울특별시 광진구 자양4동 197-6,37.536087,127.053441,서울특별시청,광진경찰서,Y,2.0,,2019/02/20,3040000,서울특별시 광진구,0,8,0,17.9,13.3,23.3,
2018,20181215,야,토,1,1,0,0,0,서울,성북구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,956967.0,1954807.0000000002,127.0125517,37.59165934,22020,서울특별시 성북구청,서울특별시 성북구 동소문로15길 12,서울특별시 성북구 동소문동6가 71-3,생활방범,3,200.0,360,30.0,200612,02-2241-4562,37.59280981,127.0137653,2020/03/31,3070000,서울특별시 성북구,초등학교,돈암초등학교,서울특별시 성북구 동소문로13길 38,서울특별시 성북구 동소문동6가 27-1,37.5937453,127.0131031,서울특별시 성북구청,서울특별시 성북경찰서,Y,1.0,,2020/02/28,3070000,서울특별시 성북구,0,95,0,-2.4,-7.8,3.2,
2018,20181230,야,일,1,1,0,0,0,서울,강북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,957823.0,1957100.0,127.0221154,37.61236625,4145,서울특별시 성북구청,서울특별시 성북구 삼양로 61-1,서울특별시 성북구 길음동 1222,생활방범,3,200.0,360,30.0,201012,02-2241-4562,37.60861418,127.0230472,2020/03/31,3070000,서울특별시 성북구,초등학교,미아초등학교,서울특별시 성북구 삼양로 77,서울특별시 성북구 길음동 1168,37.6105142,127.0216457,서울특별시 성북구청,서울특별시 성북경찰서,Y,1.0,,2020/02/28,3070000,서울특별시 성북구,2018-04-07,96,1,-6.8,-11.3,-0.9,
2018,20180804,야,토,1,1,0,0,0,서울,중랑구,차대사람,보도통행중,보도통행중,신호위반,단일로,기타단일로,자전거,보행자,963551.0,1954643.0000000002,127.087137,37.59046559,18182,서울특별시 중랑구청,서울특별시 중랑구 면목로80길 13,서울특별시 중랑구 면목본동 233-26,생활방범,3,200.0,0,30.0,201005,02-2094-0284,37.59060287,127.08771509999998,2020/05/06,3060000,서울특별시 중랑구,초등학교,서울면목초등학교,서울특별시 중랑구 면목로 434,서울특별시 중랑구 면목본동 221,37.59069723,127.0872887,서울특별시 중랑구청,중랑경찰서,Y,,,2020/03/04,3060000,서울특별시 중랑구,0,97,0,31.1,28.0,34.9,
2018,20180918,야,화,1,1,0,0,0,서울,강서구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승합차,보행자,944291.0,1950110.0,126.8693309,37.54864494,13006,서울특별시 양천구청,서울특별시 양천구 목동중앙북로7가길 30,서울특별시 양천구 목동 608-8,생활방범,3,200.0,360도 전방,30.0,201012,02-2620-4793,37.549211,126.865929,2019/11/20,3140000,서울특별시 양천구,유치원,동연유치원,서울특별시 양천구 목동중앙북로7길 22,서울특별시 양천구 목3동 602-16,37.54880900000001,126.8677075,서울특별시 양천구청,양천경찰서,Y,3.0,6,2020/06/01,3140000,서울특별시 양천구,0,97,0,22.0,17.7,26.5,
2018,20180517,야,목,1,1,0,0,0,서울,양천구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,이륜차,945233.0,1949387.0000000002,126.8800484,37.54218497,13038,서울특별시 양천구청,서울특별시 양천구 목동중앙로13다길 34,서울특별시 양천구 목동 131-46,생활방범,4,130.0,360도 전방,30.0,201112,02-2620-4793,37.543712,126.881263,2019/11/20,3140000,서울특별시 양천구,초등학교,목원초교,서울특별시 양천구 목동중앙로 204,서울특별시 양천구 목5동 929,37.54293623,126.8824793,서울특별시 양천구청,양천경찰서,Y,2.0,14,2020/06/01,3140000,서울특별시 양천구,0,98,0,20.9,18.8,23.5,83.0
