관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
서울특별시 마포구청,서울특별시 마포구 신촌로34길 23,서울특별시 마포구 아현동 326-31,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5562,126.9547,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 신촌로28길 7-3,서울특별시 마포구 아현동 591-38,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5565,126.9501,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 독막로4길 10,서울특별시 마포구 합정동 363-8,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5478,126.9168,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 방울내로9안길 103,서울특별시 마포구 망원동 439-5,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5596,126.8979,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 어울마당로5길 46,서울특별시 마포구 서교동 397-15,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5499,126.9182,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 와우산로37길 10,서울특별시 마포구 동교동 181-19,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5562,126.9303,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 양화로19길 22,서울특별시 마포구 동교동 154-22,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5584,126.9239,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 동교로12안길 31,서울특별시 마포구 서교동 481-13,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5543,126.9141,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 신촌로 94,서울특별시 마포구 노고산동 57-1,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.555,126.936,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 와우산로138-9,서울특별시 마포구 창전동 6-273,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5536,126.9294,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 대흥로9길 26,서울특별시 마포구 신수동 250-16,어린이보호,2,200,360도전방면,30,09-Jul,02-3153-8432,37.5452,126.9377,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 독막로19길 23,서울특별시 마포구 상수동 93-3,어린이보호,2,200,360도전방면,30,09-Jul,02-3153-8432,37.5486,126.9247,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 와우산로24길 43-4,서울특별시 마포구 창전동 6-75,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.552,126.9272,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 와우산로26길 54,서울특별시 마포구 창전동 6-108,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5528,126.9285,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 신촌로24안길 24,서울특별시 마포구 대흥동 18-98,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5546,126.9441,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 대흥로28길 8,서울특별시 마포구 대흥동 3-14,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5553,126.9464,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 숭문6길 22,서울특별시 마포구 염리동 518,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5499,126.9473,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 대흥로 10길 6-9,서울특별시 마포구 대흥동 2-18,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5559,126.9463,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 마포대로4다길 3,서울특별시 마포구 마포동 331-1,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5367,126.9448,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 손기정로 42,서울특별시 마포구 아현동 707-4,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5564,126.962,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 효창목5길 3,서울특별시 마포구 공덕동 107-40,생활방범,2,200,360도전방면,30,09-Jul,02-3153-8432,37.5481,126.9603,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 만리재로16안길 11-2,서울특별시 마포구 공덕동 7-86,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5497,126.9627,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 임정로13길 14,서울특별시 마포구 신공덕동 139-183,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5429,126.9576,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 동교로19길 78,서울특별시 마포구 성산동 632-2,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5587,126.9166,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 모래내로7길 36,서울특별시 마포구 성산동 137-5,어린이보호,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5673,126.9111,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵북로12안길 68,서울특별시 마포구 성산동 49-9,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5646,126.9136,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 성미산로3길 50,서울특별시 마포구 성산동 30-21,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5604,126.9099,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵로30길 16,서울특별시 마포구 성산동 262-2,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5614,126.9069,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 동교로8길 39,서울특별시 마포구 합정동 448-18,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5504,126.9056,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵로 11길 13,서울특별시 마포구 망원동 385-22,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5546,126.9103,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 방울내로 11길 61,서울특별시 마포구 망원동 469-5,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5622,126.9025,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 희우정로13길 24,서울특별시 마포구 망원동 459-4,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5527,126.9019,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵로7길 25,서울특별시 마포구 합정동 429-54,어린이보호,1,130,360도전방면,30,08-Dec,02-3153-8432,37.5526,126.9106,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 포은로6길 39,서울특별시 마포구 망원동 414-89,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5562,126.9072,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 연남로9길 11,서울특별시 마포구 연남동 370-54,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5646,126.9188,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵로19길 21,서울특별시 마포구 망원동 57-17,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5565,126.9082,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 동교로46길 30,서울특별시 마포구 연남동 384-1,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5621,126.9264,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 동교로 282,서울특별시 마포구 연남동 224-18,생활방범,1,130,360도전방면,30,10-Mar,02-3153-8432,37.5642,126.9266,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵로8길 73,서울특별시 마포구 서교동 466-9,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5537,126.9163,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 잔다리로3안길 31,서울특별시 마포구 서교동 395-128,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5502,126.9195,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 양화로8길 21,서울특별시 마포구 서교동 395-195,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5498,126.9165,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 와우산로38길 32,서울특별시 마포구 동교동 190-37,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5549,126.9322,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 와우산로38길 6,서울특별시 마포구 동교동 188-4,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5555,126.9311,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 서강로8길 12,서울특별시 마포구 신수동 70-18,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5518,126.9334,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 신수로9길19,서울특별시 마포구 신수동 93-111,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5506,126.9349,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 와우산로5길 39,서울특별시 마포구 당인동 14-1,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5471,126.9208,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 와우산로7길11,서울특별시 마포구 상수동 326-1,생활방범,3,200,360도전방면,30,10-Mar,02-3153-8432,37.5471,126.9223,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 마포대로4나길 13,서울특별시 마포구 마포동 220,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5381,126.9461,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 새창로4길 15,서울특별시 마포구 도화동 185-20,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5414,126.9516,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 삼개로1길 3,서울특별시 마포구 도화동 201-55,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5393,126.9478,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 서강대길 11,서울특별시 마포구 신수동 23-1,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5495,126.9399,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 굴레방로 7,서울특별시 마포구 아현동 282-17,어린이보호,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5548,126.9561,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 신촌로30길 4,서울특별시 마포구 아현동 347-3,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5568,126.9519,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 임정로17길 10,서울특별시 마포구 신공덕동 2-128,생활방범,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5441,126.9572,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 마포대로 24길 51,서울특별시 마포구 아현동 395-1,어린이보호,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5518,126.962,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 손기정로4안길 11,서울특별시 마포구 아현동 716-7,생활방범,2,200,360도전방면,30,10-Mar,02-3153-8432,37.5561,126.9614,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 상암근린공원,서울특별시 마포구 상암동 1689,기타,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5803,126.8823,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 상암근린공원,서울특별시 마포구 상암동 1689,기타,1,200,360도전방면,30,10-Mar,02-3153-8432,37.5803,126.8823,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵북로23길 10,서울특별시 마포구 성산동 56-2,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5646,126.9116,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 성산로2길 21,서울특별시 마포구 성산동 277-1,생활방범,2,200,360도전방면,30,09-Jul,02-3153-8432,37.5634,126.9063,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵로30다길 23-10,서울특별시 마포구 성산동 214-16,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5622,126.9084,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵북로48길 38,서울특별시 마포구 상암동 14-3,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5773,126.8956,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 성미산로7길 4,서울특별시 마포구 성산동 243-7,어린이보호,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5593,126.9126,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 성산로4길 46,서울특별시 마포구 성산동 81-107,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5635,126.9093,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 희우정로17길 23,서울특별시 마포구 망원동 460-1,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5539,126.9002,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 방울내로11길 129,서울특별시 마포구 망원동 465-14,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.561,126.899,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 양화로7길 12,서울특별시 마포구 서교동 391-17,생활방범,1,200,360도전방면,30,09-Jul,02-3153-8432,37.5514,126.9152,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 연희로1길 15,서울특별시 마포구 동교동 147-28,생활방범,1,130,360도전방면,30,11-Mar,02-3153-8432,37.5597,126.9257,2019-06-25,3130000,서울특별시 마포구
