발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2018,20180101,야,월,1,1,0,0,0,서울,은평구,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,949007,1957743,126.9221856,37.61771486
2018,20180920,야,목,1,1,0,0,0,서울,강남구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,958436,1943919,127.0298078,37.49359011
2018,20180108,주,월,1,1,0,0,0,서울,강남구,차대사람,기타,기타,보행자 보호의무 위반,단일로,기타단일로,승용차,승용차,보행자,보행자,960661,1943434,127.0550033,37.4893161
2018,20180720,주,금,1,4,1,2,0,서울,송파구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,승용차,승용차,968321,1944464,127.1416059,37.4988946
2018,20180503,야,목,1,1,0,0,0,서울,중구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로부근,이륜차,이륜차,이륜차,이륜차,956880,1951828,127.0117417,37.56480489
2018,20180204,야,일,1,1,0,0,0,서울,중구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,기타,기타,957086,1951854,127.0140727,37.56504886
2018,20181113,야,화,1,1,0,0,0,서울,중구,차대차,추돌,추돌,신호위반,교차로,교차로내,자전거,자전거,화물차,화물차,953467,1950667,126.9731706,37.55417442
2018,20181127,주,화,1,1,0,0,0,서울,종로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,953238,1952341,126.9704712,37.5692509
2018,20180910,주,월,1,3,0,2,0,서울,종로구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,터널안,이륜차,이륜차,승용차,승용차,951441,1956827,126.9498255,37.6095907
2018,20180503,야,목,1,1,0,0,0,서울,종로구,차대사람,차도통행중,차도통행중,신호위반,단일로,기타단일로,승용차,승용차,보행자,보행자,957092,1952676,127.0140925,37.57245802
2018,20180609,주,토,2,3,1,0,0,서울,용산구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,이륜차,이륜차,953804,1947043,126.9772139,37.52152743
2018,20180528,주,월,1,1,0,0,0,서울,용산구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,952998,1947943,126.9680354,37.52959862
2018,20180204,야,일,1,1,0,0,0,서울,성북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,956568,1954537,127.0080483,37.58920703
2018,20181005,주,금,1,1,0,0,0,서울,강북구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,건설기계,건설기계,보행자,보행자,957914,1959460,127.0230106,37.63364149
2018,20180312,주,월,1,1,0,0,0,서울,강북구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,승용차,승용차,보행자,보행자,958596,1959618,127.030731,37.63509656
2018,20180903,야,월,1,1,0,0,0,서울,동대문구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,보행자,보행자,959707,1954136,127.0436246,37.58573555
2018,20181208,주,토,1,2,1,0,0,서울,광진구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,교량위,승용차,승용차,승용차,승용차,961134,1948530,127.0600841,37.53526833
2018,20181201,주,토,1,1,0,0,0,서울,광진구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,자전거,자전거,건설기계,건설기계,963435.5,1949696.2,127.0860756,37.54587389
2018,20181007,야,일,1,3,2,0,0,서울,영등포구,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,승합차,승합차,948676,1947658,126.9191415,37.52679941
2018,20181117,야,토,1,1,0,0,0,서울,영등포구,차대사람,기타,기타,보행자 보호의무 위반,교차로,교차로내,화물차,화물차,보행자,보행자,947665,1946330,126.9077947,37.51477312
2018,20180204,야,일,1,1,0,0,0,서울,영등포구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,자전거,자전거,승용차,승용차,948884,1947371,126.9215154,37.52422418
2018,20180709,주,월,1,1,0,0,0,서울,금천구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,화물차,화물차,보행자,보행자,946953,1939692,126.9002168,37.45490286
2018,20180318,주,일,1,1,0,0,0,서울,성동구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,958684,1951628,127.0321794,37.56308495
2018,20180109,야,화,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,화물차,화물차,보행자,보행자,959779,1949950,127.0446698,37.54800911
2018,20180512,야,토,1,1,0,0,0,서울,중랑구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승합차,승합차,보행자,보행자,963432,1955321,127.0857552,37.59657188
2018,20180225,야,일,1,1,0,0,0,서울,중랑구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,964483,1954701,127.0976908,37.59102482
2018,20180830,야,목,1,1,0,0,0,서울,강남구,차대사람,차도통행중,차도통행중,과속,교차로,교차로부근,승용차,승용차,보행자,보행자,960781,1945457,127.0562528,37.50755531
2018,20181029,야,월,1,1,0,0,0,서울,강남구,차대사람,보도통행중,보도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,959710,1946601,127.0440725,37.51782046
2018,20180509,주,수,1,1,0,0,0,서울,강동구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,건설기계,건설기계,자전거,자전거,968603,1950860,127.1445227,37.55655427
2018,20180422,야,일,1,1,0,0,0,서울,강동구,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,승용차,보행자,보행자,967531,1948079,127.1325088,37.5314508
2018,20180518,야,금,1,1,0,0,0,서울,송파구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,화물차,화물차,967852,1944267,127.1363087,37.49710273
2018,20180625,주,월,1,2,0,1,0,서울,송파구,차대사람,길가장자리구역통행중,길가장자리구역통행중,기타(운전자법규위반),교차로,교차로부근,승용차,승용차,보행자,보행자,969168,1944282,127.1511958,37.49728283
2018,20180217,야,토,1,1,0,0,0,서울,구로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,942229,1944896,126.8463989,37.50152396
2018,20180917,주,월,1,1,0,0,0,서울,구로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,947088,1942996,126.9015058,37.48469028
2018,20180716,야,월,1,1,0,0,0,서울,구로구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,943541,1943991,126.8613111,37.49344829
2018,20180428,야,토,1,1,0,0,0,서울,구로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,944428,1944194,126.8713293,37.49533178
2018,20180126,야,금,1,1,0,0,0,서울,구로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,946450,1944086,126.8942103,37.49447787
2018,20180524,야,목,1,1,0,0,0,서울,서초구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,957743,1945029,127.0219047,37.50356347
2018,20180104,주,목,1,1,0,0,0,서울,서초구,차대사람,횡단중,횡단중,과속,교차로,교차로부근,승용차,승용차,보행자,보행자,956197,1942704,127.0045523,37.48253537
2018,20180614,야,목,1,1,0,0,0,서울,양천구,차대차,기타,기타,안전운전 의무 불이행,단일로,지하차도(도로)내,이륜차,이륜차,승용차,승용차,941835,1946024,126.8418524,37.51166595
2018,20180311,야,일,1,1,0,0,0,서울,노원구,차대사람,기타,기타,안전운전 의무 불이행,기타,기타,승용차,승용차,보행자,보행자,960631,1964719,127.0535196,37.68116212
2018,20181005,주,금,1,1,0,0,0,서울,도봉구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승합차,승합차,보행자,보행자,958282,1961163,127.0270839,37.64900766
2018,20180509,주,수,1,1,0,0,0,서울,도봉구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,자전거,자전거,승용차,승용차,958974,1964339,127.0347496,37.67766451
2018,20181211,주,화,1,1,0,0,0,서울,은평구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,947591,1957153,126.9061836,37.61231753
2018,20180713,주,금,1,1,0,0,0,서울,은평구,차대차,기타,기타,부당한 회전,교차로,교차로횡단보도내,자전거,자전거,승용차,승용차,948966.3,1956621.9,126.9218026,37.60760809
2018,20180212,주,월,1,9,2,5,1,서울,서초구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,승합차,승합차,960998,1938197,127.0590926,37.44212696
2018,20180207,야,수,1,3,0,0,2,서울,강동구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,불명,불명,970677.7,1952482.3,127.1679473,37.57124512
2018,20180323,야,금,1,1,0,0,0,서울,중구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,이륜차,이륜차,956058,1951817,127.0024349,37.56466688
2018,20180603,주,일,1,1,0,0,0,서울,종로구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,화물차,화물차,승용차,승용차,952290,1955864,126.9595071,37.60095554
2018,20180513,야,일,1,1,0,0,0,서울,서대문구,차대사람,차도통행중,차도통행중,기타(운전자법규위반),단일로,기타단일로,승합차,승합차,보행자,보행자,951559,1953635,126.9513736,37.58082709
2018,20180428,야,토,1,1,0,0,0,서울,은평구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,949230,1955207,126.9248883,37.59487011
2018,20180106,야,토,1,1,0,0,0,서울,용산구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,954826,1948409,126.9886951,37.53389018
2018,20180811,야,토,1,2,1,0,0,서울,성북구,차대사람,보도통행중,보도통행중,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,보행자,보행자,956571,1954348,127.0080935,37.58750368
2018,20180801,야,수,1,2,0,1,0,서울,성북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,956650,1954575,127.0089748,37.5895534
2018,20180225,야,일,1,4,2,1,0,서울,강북구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,승용차,승용차,승용차,958822,1956920,127.0334443,37.61078916
2018,20180709,야,월,1,1,0,0,0,서울,강북구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승합차,승합차,보행자,보행자,958126,1959606,127.0254049,37.6349671
2018,20180619,야,화,1,1,0,0,0,서울,강북구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,자전거,자전거,없음,없음,956386,1963885,127.0054288,37.67345315
2018,20181028,주,일,1,1,0,0,0,서울,동대문구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,960800,1954594,127.0559795,37.58991084
2018,20180515,야,화,1,1,0,0,0,서울,마포구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,자전거,자전거,승용차,승용차,951991,1950582,126.9564661,37.55333256
2018,20180410,주,화,1,1,0,0,0,서울,마포구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,948811,1950711,126.9204563,37.55432404
2018,20181003,주,수,1,2,0,1,0,서울,영등포구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,자전거,자전거,승용차,승용차,947396,1946899,126.9047102,37.5198863
2018,20180809,야,목,1,1,0,0,0,서울,영등포구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로부근,자전거,자전거,승용차,승용차,947702,1944239,126.9083621,37.49592866
2018,20180517,야,목,1,1,0,0,0,서울,영등포구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,없음,없음,945855,1946258,126.8873197,37.51401971
2018,20180219,주,월,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,승용차,승용차,보행자,보행자,949119,1947547,126.9241626,37.5258235
2018,20180713,주,금,1,1,0,0,0,서울,영등포구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,947038,1946449,126.9006915,37.5158099
2018,20180118,주,목,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,959059,1951275,127.0364451,37.55992001
2018,20180413,주,금,1,1,0,0,0,서울,동작구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,승용차,승용차,보행자,보행자,950377,1946178,126.9384917,37.51355298
2018,20181129,주,목,1,4,1,2,0,서울,중랑구,차대차,정면충돌,정면충돌,중앙선 침범,불명,불명,승용차,승용차,승용차,승용차,963306,1955941,127.0842968,37.60215509
2018,20180310,야,토,1,1,0,0,0,서울,관악구,차대사람,보도통행중,보도통행중,안전운전 의무 불이행,교차로,교차로횡단보도내,이륜차,이륜차,보행자,보행자,949919,1941788,126.9336083,37.47396013
2018,20180105,야,금,1,3,2,0,0,서울,강서구,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,승용차,승용차,940755,1952815,126.8290845,37.5728044
2018,20180813,야,월,1,1,0,0,0,서울,강서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,보행자,보행자,939299,1952541,126.8126199,37.57024
2018,20180630,야,토,1,1,0,0,0,서울,강서구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,943241,1949043,126.8575273,37.53896395
2018,20180304,야,일,1,3,0,2,0,서울,송파구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,지하차도(도로)내,원동기장치자전거,원동기장치자전거,승합차,승합차,966091,1944152,127.1163921,37.49600317
2018,20180221,야,수,1,5,0,4,0,서울,송파구,차대차,추돌,추돌,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,승용차,승용차,965783,1946811,127.1127841,37.51995856
2018,20180416,주,월,1,1,0,0,0,서울,송파구,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,966778,1943299,127.1242025,37.48833964
2018,20181104,주,일,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,962630,1944913,127.0772006,37.50272876
2018,20180217,주,토,1,1,0,0,0,서울,송파구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,화물차,자전거,자전거,964997,1945508,127.1039516,37.50818457
2018,20181111,주,일,2,10,4,4,0,서울,송파구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승합차,승합차,963373,1946466,127.0855292,37.51675638
2018,20181213,주,목,1,2,1,0,0,서울,성북구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,958178,1956131,127.026193,37.60364868
2018,20181224,야,월,1,1,0,0,0,서울,서초구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,959188.7,1940745.3,127.0384984,37.46501785
2018,20181129,야,목,1,5,1,3,0,서울,서초구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,승용차,승합차,승합차,956965,1945592,127.0130697,37.50860203
2018,20181121,야,수,1,1,0,0,0,서울,양천구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,941612,1946667,126.8392781,37.51744725
2018,20181009,야,화,1,1,0,0,0,서울,양천구,차량단독,전도,전도,안전운전 의무 불이행,단일로,교량위,이륜차,이륜차,없음,없음,941233,1947550,126.834919,37.52538168
2018,20181015,주,월,1,1,0,0,0,서울,노원구,차대사람,보도통행중,보도통행중,기타(운전자법규위반),단일로,기타단일로,승용차,승용차,보행자,보행자,961344,1961159,127.0617941,37.64910564
2018,20180625,주,월,1,1,0,0,0,서울,노원구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,962805,1961949,127.0783154,37.65628642
2018,20180207,야,수,1,1,0,0,0,서울,도봉구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,959831,1963854,127.0444947,37.67333108
2018,20180909,야,일,1,1,0,0,0,서울,은평구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,없음,없음,948379,1957711,126.9150721,37.61739138
2018,20180206,주,화,1,1,0,0,0,서울,은평구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,948558,1958412,126.917051,37.62371954
2018,20180812,야,일,1,1,0,0,0,서울,강남구,차량단독,기타,기타,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,승용차,없음,없음,962353.7,1942968.9,127.0741741,37.48519452
2018,20180207,야,수,1,1,0,0,0,서울,종로구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,956096,1952534,127.0028223,37.57113118
2018,20180822,주,수,1,1,0,0,0,서울,은평구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,950125,1956036,126.9349697,37.60239092
2018,20180928,야,금,1,1,0,0,0,서울,은평구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,승합차,승합차,이륜차,이륜차,946616,1953820,126.8953801,37.58222105
2018,20181030,주,화,1,1,0,0,0,서울,강북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,957010,1958945,127.0127956,37.62895786
2018,20180930,야,일,1,1,0,0,0,서울,동대문구,차대사람,기타,기타,안전운전 의무 불이행,기타,기타,승용차,승용차,보행자,보행자,961846,1951986,127.0679631,37.56644815
2018,20180712,주,목,2,8,1,3,2,서울,광진구,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,963978,1950370,127.0921836,37.55196846
2018,20180808,야,수,1,1,0,0,0,서울,광진구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,961682,1949748,127.0662231,37.54626953
2018,20180309,주,금,1,1,0,0,0,서울,마포구,차대차,기타,기타,과속,교차로,교차로부근,승합차,승합차,원동기장치자전거,원동기장치자전거,950931,1948948,126.9445751,37.53854919
2018,20180407,야,토,1,1,0,0,0,서울,금천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,947008,1939510,126.9008518,37.45326561
2018,20180929,야,토,1,2,0,1,0,서울,관악구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,952041.8,1942372.6,126.957577,37.47934194
2018,20181201,야,토,1,1,0,0,0,서울,관악구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,948753,1941764,126.9204237,37.47367987
2018,20181105,주,월,1,4,2,1,0,서울,강남구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,승용차,승용차,승용차,승용차,958299,1946861,127.0280911,37.52010121
2018,20181215,야,토,1,1,0,0,0,서울,강서구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,자전거,자전거,940319,1952842,126.8241451,37.57301958
2018,20181119,주,월,1,1,0,0,0,서울,강동구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,967308,1950672,127.1298694,37.55481469
2018,20181124,야,토,1,2,1,0,0,서울,강동구,차대차,기타,기타,기타(운전자법규위반),단일로,기타단일로,승용차,승용차,화물차,화물차,971043,1951552,127.1721207,37.5628715
2018,20180320,야,화,1,1,0,0,0,서울,강동구,차대사람,보도통행중,보도통행중,보행자 보호의무 위반,교차로,교차로내,승용차,승용차,보행자,보행자,970944,1951153,127.1710156,37.55927202
2018,20180412,야,목,1,1,0,0,0,서울,송파구,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,965824,1943541,127.1134001,37.49048609
2018,20180720,주,금,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,966539,1944852,127.1214284,37.50232894
2018,20180806,주,월,1,1,0,0,0,서울,송파구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,969500,1944188,127.1549555,37.49644659
2018,20180427,주,금,1,1,0,0,0,서울,송파구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,965204,1946065,127.1062673,37.51321288
2018,20181013,야,토,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,승용차,승용차,보행자,보행자,965793,1944290,127.1130146,37.49723603
2018,20181011,주,목,1,1,0,0,0,서울,성북구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,승용차,이륜차,이륜차,958721,1956113,127.0323456,37.60351098
