발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2015,2015-01-04 18:00,야,일,1,1,0,0,0,인천,서구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,927182.9,1947591.9,126.6759199,37.5247569
2015,2015-01-04 20:52,야,일,1,1,0,0,0,인천,계양구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,소형,보행자,보행자,931313,1948424,126.7225789,37.53257332
2015,2015-01-04 21:13,야,일,1,1,0,0,0,전남,목포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,원동기장치자전거,보행자,보행자,899399,1647185,126.4000464,34.81428838
2015,2015-01-04 21:30,야,일,1,1,0,0,0,경북,예천군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,중형,없음,없음,1085781,1853349,128.4599977,36.67423129
2015,2015-01-04 22:14,야,일,1,1,0,0,0,경기,성남시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,경형,보행자,보행자,965523,1930936,127.1105843,37.37685899
2015,2015-01-04 23:50,야,일,1,1,0,0,0,경기,평택시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,961209,1897824,127.0635825,37.07822291
2015,2015-01-05 3:39,야,월,1,1,0,0,0,서울,구로구,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,없음,없음,941717,1943013,126.8407559,37.48452015
2015,2015-01-05 4:40,야,월,1,1,0,0,0,경북,칠곡군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,1095252,1776866,128.5566237,35.98391987
2015,2015-01-05 6:05,주,월,1,1,0,0,0,경기,수원시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,중형,화물차,소형,958157,1919953,127.0280077,37.27755915
2015,2015-01-05 6:30,주,월,1,1,0,0,0,전북,전주시,차대사람,보도통행중,보도통행중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,소형,보행자,보행자,967409,1759592,127.1391538,35.83228744
2015,2015-01-05 7:30,주,월,1,4,2,1,0,경남,창원시(통합),차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,1078504,1682339,128.3616898,35.13319716
2015,2015-01-05 9:52,주,월,1,2,1,0,0,강원,삼척시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,소형,건설기계,건설기계,1128015,1928693,128.9453392,37.34845141
2015,2015-01-05 9:40,주,월,1,2,1,0,0,강원,정선군,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,1123698.1,1912654.6,128.8939451,37.20450953
2015,2015-01-05 9:25,주,월,1,2,1,0,0,충남,보령시,차대차,정면충돌,정면충돌,운전자법규위반,과속,교차로,교차로내,건설기계,건설기계,승용차,중형,909032,1835118,126.4841176,36.50942181
2015,2015-01-05 17:55,주,월,1,1,0,0,0,울산,울주군,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승용차,중형,보행자,보행자,1155411,1739419,129.2164653,35.63871055
2015,2015-01-05 18:20,야,월,1,1,0,0,0,대구,달성군,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,건설기계,건설기계,보행자,보행자,1089733,1757025,128.4931736,35.80558193
2015,2015-01-05 19:10,야,월,1,1,0,0,0,경기,고양시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승합차,대형,보행자,보행자,941742,1958123,126.8398384,37.62070796
2015,2015-01-05 20:20,야,월,1,1,0,0,0,서울,구로구,차대사람,기타,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,보행자,보행자,942107,1944339,126.8450626,37.49649604
2015,2015-01-05 21:38,야,월,1,6,1,4,0,인천,계양구,차대차,측면충돌,측면충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,승용차,중형,승합차,대형,933109,1951904,126.7425876,37.56406994
2015,2015-01-05 23:19,야,월,1,1,0,0,0,경기,시흥시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,대형,승용차,중형,932503,1929695,126.7377613,37.36385778
2015,2015-01-05 23:05,야,월,1,1,0,0,0,충남,서산시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,905142,1864207,126.4370864,36.77123554
2015,2015-01-06 2:30,야,화,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,906416,1499335,126.4927104,33.48175278
2015,2015-01-06 5:40,야,화,1,1,0,0,0,서울,용산구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,953874,1950002,126.9778201,37.54820111
2015,2015-01-06 7:00,주,화,1,2,1,0,0,경기,파주시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,화물차,소형,935246,1985074,126.7638312,37.86317052
2015,2015-01-06 7:05,주,화,1,1,0,0,0,경기,안산시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,자전거,자전거,938787,1926852,126.808956,37.33866917
2015,2015-01-06 7:00,주,화,1,2,1,0,0,경북,김천시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,소형,승용차,중형,1060251,1790581,128.1694368,36.11035525
2015,2015-01-06 8:50,주,화,1,1,0,0,0,충남,보령시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,원동기장치자전거,원동기장치자전거,919609,1812561,126.6045586,36.30703541
2015,2015-01-06 12:32,주,화,1,5,3,1,0,서울,성북구,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,터널안,승합차,대형,화물차,소형,955425,1956850,126.9949612,37.60999981
2015,2015-01-06 12:10,주,화,1,1,0,0,0,강원,동해시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,없음,없음,1142696,1952128,129.1155728,37.55746351
2015,2015-01-06 13:20,주,화,1,1,0,0,0,경기,광주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,978110,1934663,127.2526418,37.41083588
2015,2015-01-06 14:10,주,화,1,1,0,0,0,경기,하남시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,승용차,중형,없음,없음,975229,1943173,127.2198007,37.48746933
2015,2015-01-06 15:00,주,화,1,1,0,0,0,충북,음성군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,자전거,자전거,1003458,1893064,127.5388828,37.03611118
2015,2015-01-06 15:50,주,화,1,1,0,0,0,전남,순천시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,경형,승용차,중형,993131,1649660,127.4248692,34.84155591
2015,2015-01-06 16:50,주,화,1,1,0,0,0,전남,담양군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,농기계,농기계,없음,없음,955977,1695438,127.0160702,35.25340867
2015,2015-01-06 19:19,야,화,1,1,0,0,0,경기,안산시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,934459,1922899,126.7604493,37.30274457
2015,2015-01-06 21:08,야,화,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,중형,보행자,보행자,947727,1944613,126.9086183,37.49930101
2015,2015-01-06 23:00,야,화,1,3,0,1,1,경기,수원시,차대차,측면충돌,측면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,화물차,소형,959738,1921961,127.0457322,37.29572844
2015,2015-01-06 23:45,야,화,2,3,1,0,0,대전,서구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,화물차,소형,승용차,중형,991183,1816098,127.4017458,36.34223623
2015,2015-01-07 6:50,주,수,1,1,0,0,0,충남,천안시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,화물차,소형,보행자,보행자,966388,1869214,127.1231202,36.82052357
2015,2015-01-07 6:25,주,수,1,1,0,0,0,전남,광양시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,1009688,1663361,127.6061229,34.96508269
2015,2015-01-07 6:30,주,수,1,1,0,0,0,대구,달성군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1081258,1751868,128.3988588,35.75982905
2015,2015-01-07 7:07,주,수,1,1,0,0,0,대전,동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도부근,승용차,중형,보행자,보행자,993709,1816497,127.4298916,36.3458532
2015,2015-01-07 8:30,주,수,1,1,0,0,0,전남,목포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,보행자,보행자,896980,1646515,126.3736842,34.80800573
2015,2015-01-07 9:20,주,수,1,1,0,0,0,전북,익산시,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,보행자,보행자,948428.8,1768984.1,126.9284055,35.91614901
2015,2015-01-07 11:25,주,수,1,1,0,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,없음,없음,1048464,1912401,128.0461833,37.20916675
2015,2015-01-07 12:50,주,수,2,3,0,1,0,충북,음성군,차대차,기타,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,소형,화물차,대형,999920,1882416,127.4991016,36.94013171
2015,2015-01-07 14:05,주,수,1,1,0,0,0,전북,전주시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,967896,1758730,127.1445804,35.82453169
2015,2015-01-07 16:50,주,수,1,8,7,0,0,경기,고양시,차대차,측면충돌,측면충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,화물차,대형,승용차,중형,943330,1958735,126.8577847,37.62632316
2015,2015-01-07 21:40,야,수,1,1,0,0,0,서울,서초구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승합차,대형,보행자,보행자,954246,1943066,126.9824632,37.4857036
2015,2015-01-07 23:50,야,수,1,5,1,3,0,경기,양주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,대형,승합차,소형,954897,1976871,126.9877389,37.79042332
2015,2015-01-07 23:30,야,수,1,1,0,0,0,충북,충주시,차량단독,도로이탈,도로이탈 기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,1044193,1871926,127.995675,36.84453528
2015,2015-01-08 0:00,야,목,1,1,0,0,0,충남,태안군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,없음,없음,893342,1861357,126.3052868,36.74429429
2015,2015-01-08 6:14,주,목,1,1,0,0,0,경기,성남시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승합차,중형,보행자,보행자,970453,1937733,127.1659955,37.43829503
2015,2015-01-08 6:30,주,목,1,1,0,0,0,전남,곡성군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,특수차,대형,화물차,소형,968028,1696079,127.1485151,35.25964573
2015,2015-01-08 8:20,주,목,1,1,0,0,0,전남,담양군,차대차,기타,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,소형,건설기계,건설기계,958909,1698879,127.0481275,35.28455993
2015,2015-01-08 9:46,주,목,1,2,0,0,1,경기,안양시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,949065,1932890,126.9245647,37.393713
2015,2015-01-08 11:50,주,목,1,1,0,0,0,경북,영양군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,없음,없음,1136779,1844928,129.0290793,36.59237601
2015,2015-01-08 15:15,주,목,1,3,1,1,0,전남,보성군,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,원동기장치자전거,원동기장치자전거,화물차,소형,985952,1648870,127.3463611,34.83435813
2015,2015-01-08 18:10,야,목,1,1,0,0,0,강원,평창군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1105945,1964415,128.7013645,37.6731482
2015,2015-01-09 6:00,주,금,1,1,0,0,0,충북,청주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,996672,1849493,127.4627699,36.6433334
2015,2015-01-09 7:49,주,금,1,1,0,0,0,부산,연제구,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,승합차,대형,1143616,1689163,129.0773851,35.18752003
2015,2015-01-09 9:01,주,금,1,1,0,0,0,전남,무안군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,승합차,대형,905854,1665383,126.4685647,34.97898145
2015,2015-01-09 9:55,주,금,1,1,0,0,0,인천,계양구,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승합차,대형,원동기장치자전거,원동기장치자전거,928847,1947595,126.6947507,37.52491474
2015,2015-01-09 17:50,주,금,1,1,0,0,0,경남,함양군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,없음,없음,1017299,1720744,127.6907005,35.48240708
2015,2015-01-09 18:27,야,금,1,1,0,0,0,경기,고양시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,대형,이륜차,소형,947227,1968549,126.901235,37.71500798
2015,2015-01-09 20:40,야,금,1,1,0,0,0,서울,중구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,955475,1951772,126.9958365,37.56423328
2015,2015-01-09 22:03,야,금,1,1,0,0,0,인천,계양구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,931081,1949665,126.7198367,37.54374085
2015,2015-01-10 1:40,야,토,1,1,0,0,0,경기,가평군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,없음,없음,991338,1968779,127.4017154,37.71856053
2015,2015-01-10 1:10,야,토,1,1,0,0,0,충북,청주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,997095,1851601,127.4674939,36.66233831
2015,2015-01-10 1:17,야,토,1,1,0,0,0,대구,수성구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,없음,없음,1102768,1758839,128.6376557,35.82065582
2015,2015-01-10 2:45,야,토,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,대형,보행자,보행자,964672,1946089,127.1002465,37.51340898
2015,2015-01-10 3:52,야,토,1,1,0,0,0,서울,구로구,차대사람,횡단중,횡단중,운전자법규위반,과속,교차로,교차로부근,승용차,중형,보행자,보행자,945002,1945228,126.8777451,37.50468574
2015,2015-01-10 4:11,야,토,1,2,1,0,0,광주,남구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,없음,없음,942826,1680029,126.8725813,35.11380705
2015,2015-01-10 11:55,주,토,1,1,0,0,0,경북,의성군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,중형,보행자,보행자,1102454,1814485,128.6414054,36.32228469
2015,2015-01-10 13:10,주,토,1,3,1,1,0,충남,천안시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,승용차,경형,985192,1863445,127.3340739,36.76899907
2015,2015-01-10 19:00,야,토,1,1,0,0,0,광주,서구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,945503,1684552,126.9016585,35.15473829
2015,2015-01-10 21:50,야,토,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,958885,1949153,127.034594,37.54078605
2015,2015-01-11 1:35,야,일,1,2,0,0,1,경기,용인시,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,964859,1926224,127.1033082,37.33436164
2015,2015-01-11 2:30,야,일,1,1,0,0,0,서울,성북구,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,중형,승합차,소형,960735.3,1957108.1,127.0551117,37.61256826
2015,2015-01-11 3:25,야,일,1,5,1,3,0,경기,성남시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,특수차,소형,962023,1936802,127.0707514,37.42959576
2015,2015-01-11 5:50,야,일,1,1,0,0,0,경기,이천시,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,989751,1922648,127.3843516,37.3027363
2015,2015-01-11 6:47,주,일,1,1,0,0,0,경남,고성군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,대형,보행자,보행자,1087867,1673179,128.4634775,35.04983612
