관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,과속방지턱관리번호,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로유형구분,규격여부,보차분리여부,연속형여부,과속방지턱설치년도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
서울특별시 강동구청,서울특별시 강동구 천중로39길 77(천호동),서울특별시 강동구 천호동 40-47,어린이보호,1,200,360도전방면,30,15-Dec,02-3425-7090,37.5447,127.1402,2020-05-20,3240000,서울특별시 강동구,82001084,1,강동구,천중로39길,서울특별시 강동구 천중로39길 81 (천호동),서울특별시 강동구 천호동 40-47,서울특별시 강동구 천중로39길 81 (천호동),99,3,0,360,360,2,Y,N,N,2009,서울특별시 강동구청,02-3425-6352,2019-12-09,3240000,서울특별시 강동구
서울특별시 강동구청,서울특별시 강동구 천중로23길 63(천호동),서울특별시 강동구 천호동 293,생활방범,3,200,360도전방면,30,15-Dec,02-3425-7090,37.5474,127.1335,2020-05-20,3240000,서울특별시 강동구,82001168,1,강동구,상암로,서울특별시 강동구 상암로 96,서울특별시 강동구 천호동 293,서울특별시 강동구 상암로 96,1,1,10,360,390,2,Y,N,N,2009,서울특별시 강동구청,02-3425-6352,2019-12-09,3240000,서울특별시 강동구
경상남도 남해군,,경상남도 남해군 삼동면 동천리1114-2,어린이보호,1,200,삼동초정문_동천방향_360도 전방면,30,14-Aug,055-860-8814,34.80870478,128.0348983,2020-06-19,5430000,경상남도 남해군,63,경상남도,남해군,국3호,,경상남도 남해군 삼동면 동천리 1114-2,동천마을,2,1,0,350,700,1,Y,Y,N,,진주국토관리사무소,055-740-2265,2020-06-24,5430000,경상남도 남해군
서울특별시 강동구청,서울특별시 강동구 천중로 35길 76 (천호동),서울특별시 강동구 천호동 47-14,생활방범,3,200,360도전방면,30,18-Jan,02-3425-7090,37.5444,127.1386,2020-05-20,3240000,서울특별시 강동구,82001082,1,강동구,천중로35길,서울특별시 강동구 천중로35길 76 (천호동),서울특별시 강동구 천호동 47-14,서울특별시 강동구 천중로35길 76 (천호동),99,3,0,360,480,2,Y,N,N,2009,서울특별시 강동구청,02-3425-6352,2019-12-09,3240000,서울특별시 강동구
서울특별시 강동구청,서울특별시 강동구 천중로 250 (길동),서울특별시 강동구 길동 157-10,생활방범,3,200,360도전방면,30,18-Jan,02-3425-7090,37.5404,127.1479,2020-05-20,3240000,서울특별시 강동구,82000789,1,강동구,천중로,서울특별시 강동구 천중로 250 (길동),서울특별시 강동구,서울특별시 강동구 천중로 250 (길동),1,3,0,380,1310,2,Y,N,N,2009,서울특별시 강동구청,02-3425-6352,2019-12-09,3240000,서울특별시 강동구
경상남도 남해군,,경상남도 남해군 고현면 도마리229-2,어린이보호,1,200,도마초후문_샛길방향,30,14-Aug,055-860-8814,34.87076816,127.8928932,2020-06-19,5430000,경상남도 남해군,136,경상남도,남해군,국19호,,경상남도 남해군 고현면 도마리 229-2,서도마마을,2,1,10,350,1300,1,Y,Y,N,,진주국토관리사무소,055-740-2265,2020-06-24,5430000,경상남도 남해군
경상남도 남해군,,경상남도 남해군 고현면 도마리229-2,어린이보호,1,200,도마초후문_설천방향_360도 전방면,30,14-Aug,055-860-8814,34.87076816,127.8928932,2020-06-19,5430000,경상남도 남해군,136,경상남도,남해군,국19호,,경상남도 남해군 고현면 도마리 229-2,서도마마을,2,1,10,350,1300,1,Y,Y,N,,진주국토관리사무소,055-740-2265,2020-06-24,5430000,경상남도 남해군
경상남도 남해군,,경상남도 남해군 고현면 도마리229-2,어린이보호,1,200,도마초후문_정문방향,30,14-Aug,055-860-8814,34.87076816,127.8928932,2020-06-19,5430000,경상남도 남해군,136,경상남도,남해군,국19호,,경상남도 남해군 고현면 도마리 229-2,서도마마을,2,1,10,350,1300,1,Y,Y,N,,진주국토관리사무소,055-740-2265,2020-06-24,5430000,경상남도 남해군
경기도 남양주시청,,경기도 남양주시 진접읍 금곡리1127-113,시설물관리,4,200,진접노상 제4공영주차장,30,,031-560-1211,37.71451633,127.1977258,2020-01-28,3990000,경기도 남양주시,42,9,남양주시,해밀예당3로,,경기도 남양주시 진접읍 금곡리 1127-113,홈플러스익스프레스 앞,1,2,10,360,500,1,Y,Y,N,,남양주시청,031-590-8618,2020-01-28,3990000,경기도 남양주시
경상남도 남해군,,경상남도 남해군 고현면 대사리 689-3,생활방범,1,200,고현면사무소_정보고정문_설천방향,30,17-Jul,055-860-8814,34.89621619,127.8729689,2020-06-19,5430000,경상남도 남해군,130,경상남도,남해군,지1024,,경상남도 남해군 고현면 대사리 689-3,탑동마을,2,1,10,350,650,1,Y,Y,N,,경상남도,055-254-4251,2020-06-24,5430000,경상남도 남해군
경상남도 남해군,,경상남도 남해군 고현면 대사리 689-3,생활방범,1,200,고현면사무소_정보고정문_읍방향_360도 전방면,30,17-Jul,055-860-8814,34.89621619,127.8729689,2020-06-19,5430000,경상남도 남해군,130,경상남도,남해군,지1024,,경상남도 남해군 고현면 대사리 689-3,탑동마을,2,1,10,350,650,1,Y,Y,N,,경상남도,055-254-4251,2020-06-24,5430000,경상남도 남해군
경상북도 포항시청,경상북도 포항시 북구 새천년대로 1123,경상북도 포항시 북구 창포동 645-2,차량방범,2,200,부산프라자 앞,30,12-Nov,054-270-3851,36.06879228,129.3718795,2020-06-18,5020000,경상북도 포항시,82000118,경상북도,포항시,새천년대로,경상북도 포항시 북구 새천년대로 1123 (창포동),경상북도 포항시 북구 창포동 645-2,장성초등학교 앞,1,1,7,360,1300,1,N,Y,Y,,포항시 북구청,054-240-7418,2020-06-22,5020000,경상북도 포항시
